 ----------------------header-------------------------- 2018-08-07 16:48:52,030 [9] INFO  loginfo - 文件接收工具启动
2018-08-07 16:57:54,438 [17] INFO  loginfo - 收到数据文件
2018-08-07 16:57:54,498 [16] INFO  loginfo - 收到数据文件
2018-08-07 16:57:54,553 [16] INFO  loginfo - 收到数据文件
2018-08-07 16:57:54,603 [16] INFO  loginfo - 收到数据文件
2018-08-07 16:57:54,663 [16] INFO  loginfo - 收到数据文件
2018-08-07 16:57:54,713 [16] INFO  loginfo - 收到数据文件
2018-08-07 16:57:54,773 [16] INFO  loginfo - 收到数据文件
2018-08-07 16:57:54,823 [16] INFO  loginfo - 收到数据文件
2018-08-07 16:57:54,883 [16] INFO  loginfo - 收到数据文件
2018-08-07 16:57:54,943 [16] INFO  loginfo - 收到数据文件
2018-08-07 16:57:54,993 [16] INFO  loginfo - 收到数据文件
2018-08-07 16:57:55,053 [16] INFO  loginfo - 收到数据文件
2018-08-07 16:57:55,103 [16] INFO  loginfo - 收到数据文件
2018-08-07 16:57:55,163 [16] INFO  loginfo - 收到数据文件
2018-08-07 16:57:55,223 [16] INFO  loginfo - 收到数据文件
2018-08-07 16:57:55,273 [16] INFO  loginfo - 收到数据文件
2018-08-07 16:57:55,333 [16] INFO  loginfo - 收到数据文件
2018-08-07 16:57:55,383 [16] INFO  loginfo - 收到数据文件
2018-08-07 16:57:55,443 [16] INFO  loginfo - 收到数据文件
2018-08-07 16:57:55,503 [16] INFO  loginfo - 收到数据文件
2018-08-07 16:57:55,563 [16] INFO  loginfo - 收到数据文件
2018-08-07 16:57:55,623 [16] INFO  loginfo - 收到数据文件
2018-08-07 16:57:55,673 [16] INFO  loginfo - 收到数据文件
2018-08-07 16:57:55,733 [16] INFO  loginfo - 收到数据文件
2018-08-07 16:57:55,793 [16] INFO  loginfo - 收到数据文件
2018-08-07 16:57:55,843 [16] INFO  loginfo - 收到数据文件
2018-08-07 16:57:55,903 [16] INFO  loginfo - 收到数据文件
2018-08-07 16:57:55,953 [16] INFO  loginfo - 收到数据文件
2018-08-07 16:57:56,013 [16] INFO  loginfo - 收到数据文件
2018-08-07 16:57:56,073 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:57:56,123 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:57:56,183 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:57:56,243 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:57:56,293 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:57:56,353 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:57:56,403 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:57:56,463 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:57:56,513 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:57:56,573 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:57:56,633 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:57:56,693 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:57:56,753 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:57:56,803 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:57:56,863 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:57:56,923 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:57:56,973 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:57:57,033 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:57:57,083 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:57:57,143 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:57:57,203 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:57:57,263 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:57:57,313 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:57:57,373 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:57:57,423 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:57:57,484 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:57:57,534 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:57:57,594 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:57:57,654 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:57:57,704 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:57:57,764 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:57:57,814 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:57:57,874 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:57:57,934 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:57:57,984 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:57:58,044 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:57:58,094 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:57:58,154 [15] INFO  loginfo - 收到数据文件
